name,weight,Class,Energy,Protein,Potassium,Phosphorus,Sodium
콩가루김치국,554.5,국,214.7,17.9,847.9,255.8,1576.0
콩나물김치국,476.0,국,93.2,8.7,398.4,206.5,1778.4
콩나물조개국,119.0,국,80.4,8.9,261.8,168.1,931.2
호박두부국,513.0,국,92.5,7.9,697.5,151.1,927.9
호박양파국,512.5,국,143.0,12.9,543.8,243.1,1993.7
갈치무찌개,437.35,국,202.7,20.4,655.6,247.4,802.9
감자양파찌개,372.4,국,113.0,4.6,416.7,118.7,1346.6
김치버섯찌개,394.0,국,77.1,3.1,476.0,85.2,1251.2
꽁치무찌개,426.3,국,215.6,28.5,446.4,323.1,949.3
낙지고추장찌개,474.6,국,173.1,22.3,560.7,278.1,1856.9
닭고기감자찌개,192.7,국,181.6,25.9,655.8,162.5,957.7
돼지고기찌개,484.1,국,211.7,17.5,544.8,218.8,1088.0
돼지고기두부찌개,412.1,국,188.5,15.8,498.8,192.8,1044.8
돼지고기햄김치찌개,390.1,국,195.7,14.0,479.6,172.2,1541.4
된장찌개,515.0,국,141.8,12.5,442.8,207.3,1672.2
두부고추장찌개,382.7,국,185.9,14.2,373.0,193.9,979.4
만두김치찌개,401.5,국,238.5,12.4,455.4,146.0,1035.5
명태매운탕,628.7,국,198.3,27.3,867.5,368.3,1432.1
버섯만두찌개,159.0,국,244.6,11.0,429.4,147.1,849.4
버섯쇠고기찌개,394.0,국,104.9,8.5,675.7,128.7,924.4
북어고추장찌개,333.2,국,155.5,15.4,423.2,214.0,740.8
생선묵감자찌개,140.1,국,166.5,8.6,349.7,116.1,1470.2
생선묵무찌개,381.5,국,103.2,6.3,316.4,86.9,1169.8
쇠고기감자찌개,347.1,국,122.8,7.5,326.0,92.1,919.6
순두부해물찌개,421.5,국,159.8,19.5,424.1,253.0,975.3
아욱고추장찌개,289.0,국,87.2,6.2,358.0,86.3,470.0
오징어찌개,243.2,국,191.3,25.4,721.3,392.3,1505.4
짬뽕찌개,364.5,국,122.2,15.8,382.1,223.7,1091.7
참치찌개,471.4,국,244.6,19.6,552.2,206.7,1388.8
청국장,417.5,국,203.9,17.8,691.6,276.9,951.9
콩나물찌개,424.2,국,208.9,17.7,453.7,227.6,1128.9
콩나물오징어된장찌개,369.0,국,152.3,18.0,531.9,317.7,1390.0
해물찌개,153.0,국,105.8,17.7,515.9,243.9,1076.4
햄감자찌개,396.1,국,204.8,12.8,525.5,180.0,1277.9
햄김치찌개,374.2,국,175.1,9.0,416.9,137.7,1423.6
간장양념닭찜,284.1,찜,231.1,38.2,801.9,222.5,1003.4
꽈리고추찜,66.6,찜,47.3,2.3,215.2,42.5,635.3
대구콩나물찜,187.9,찜,130.8,19.3,363.7,228.9,382.7
돼지갈비찜,224.0,찜,383.0,28.0,605.2,307.9,1011.4
북어콩나물찜,163.7,찜,167.4,18.2,482.5,209.9,732.5
순두부달걀찜,126.7,찜,88.1,8.7,159.9,110.3,612.4
간장떡볶이,136.0,곡류(간식),217.9,7.7,222.5,92.2,572.7
감자깻잎볶음,111.0,볶음,126.8,2.5,325.1,65.5,1176.0
감자잡채,158.5,반찬,255.3,2.6,349.3,73.9,556.1
감자풋고추볶음,117.8,볶음,121.7,6.8,402.3,197.1,624.1
건새우볶음,44.2,볶음,132.8,6.8,142.1,129.8,500.6
고구마줄기볶음,90.5,볶음,76.4,1.1,493.3,25.6,361.3
고사리볶음,19.0,볶음,44.0,2.2,193.5,31.9,384.5
골뱅이고추장볶음,89.2,볶음,118.4,8.7,156.4,57.5,434.7
김치볶음,113.1,볶음,109.0,2.4,350.1,59.3,568.3
깻잎볶음,128.1,볶음,155.7,7.4,434.5,110.1,1006.4
꽈리고추감자볶음,89.5,볶음,73.9,1.7,239.6,45.5,525.9
꽈리고추새우볶음,37.0,볶음,94.7,8.8,88.4,160.4,639.7
닭고기카레볶음,404.7,볶음,218.4,30.5,638.5,169.9,623.9
닭고기야채볶음,217.7,볶음,215.1,33.4,733.1,199.1,532.2
돼지고기케첩볶음,127.3,볶음,216.3,12.4,363.7,129.8,552.6
돼지고기버섯볶음,108.0,볶음,142.6,8.2,288.1,102.5,549.2
돼지불고기,176.1,반찬,359.1,24.6,491.7,249.1,681.3
두부간장볶음,166.2,볶음,263.7,18.0,308.2,248.9,369.6
두부고추장볶음,173.0,볶음,215.2,15.2,399.5,224.1,879.2
두부김치볶음,165.5,볶음,166.6,9.3,351.2,166.5,692.8
두부두루치기,201.3,반찬,289.8,18.1,426.7,268.5,981.7
두부양념볶음,223.5,볶음,335.3,23.8,392.3,334.0,619.4
두부잡채,226.0,반찬,341.2,15.8,585.6,238.3,1125.4
두부참치두루치기,225.0,반찬,298.5,23.9,464.8,320.0,1045.5
떡볶이,296.5,곡류(간식),305.3,7.9,346.0,104.1,999.0
마늘쫑볶음,64.0,볶음,149.9,3.5,230.1,81.6,908.9
멸치깻잎볶음,45.9,볶음,87.1,8.7,249.7,304.5,720.1
